location,plot,rep,trt,Nfertnew,seedyld
Lam,2101,1,2,40,1087
Lam,2104,1,4,120,1352
Lam,2107,1,3,80,1038
Lam,2110,1,6,200,515
Lam,2113,1,5,160,848
Lam,2116,1,1,0,839
Lam,2202,2,4,120,1241
Lam,2205,2,5,160,639
Lam,2208,2,6,200,768
Lam,2211,2,1,0,817
Lam,2214,2,3,80,1096
Lam,2217,2,2,40,981
Lam,2302,3,3,80,1075
Lam,2305,3,2,40,1303
Lam,2308,3,6,200,532
Lam,2311,3,4,120,1118
Lam,2314,3,1,0,785
Lam,2317,3,5,160,762
Lam,2402,4,1,0,966
Lam,2405,4,3,80,923
Lam,2408,4,2,40,1101
Lam,2411,4,5,160,463
Lam,2414,4,4,120,991
Lam,2417,4,6,200,708
Mor,4103,1,3,80,892
Mor,4106,1,4,120,548
Mor,4109,1,2,40,966
Mor,4112,1,6,200,331
Mor,4115,1,1,0,852
Mor,4118,1,5,160,287
Mor,4202,2,1,0,610
Mor,4205,2,2,40,985
Mor,4208,2,5,160,636
Mor,4211,2,4,120,728
Mor,4214,2,3,80,865
Mor,4217,2,6,200,484
Mor,4301,3,4,120,529
Mor,4304,3,2,40,728
Mor,4307,3,5,160,632
Mor,4310,3,3,80,1035
Mor,4313,3,1,0,728
Mor,4316,3,6,200,282
Mor,4402,4,4,120,958
Mor,4405,4,2,40,936
Mor,4408,4,3,80,794
Mor,4411,4,5,160,410
Mor,4414,4,1,0,744
Mor,4417,4,6,200,580
Was,1102,1,1,0,913
Was,1105,1,2,40,948
Was,1108,1,4,120,808
Was,1111,1,3,80,1141
Was,1114,1,5,160,948
Was,1117,1,6,200,737
Was,1203,2,1,0,755
Was,1206,2,5,160,597
Was,1209,2,2,40,948
Was,1212,2,6,200,702
Was,1215,2,3,80,1141
Was,1218,2,4,120,808
Was,1302,3,1,0,948
Was,1305,3,2,40,895
Was,1308,3,6,200,737
Was,1311,3,3,80,983
Was,1314,3,5,160,562
Was,1317,3,4,120,772
Was,1401,4,1,0,983
Was,1404,4,2,40,1001
Was,1407,4,6,200,737
Was,1410,4,3,80,966
Was,1413,4,5,160,737
Was,1416,4,4,120,808
