site	year	env	plot	Ntrt	rep	dm
Aus 	2008	A08	101	56	1	5.08
Aus 	2008	A08	102	112	1	6.75
Aus 	2008	A08	103	0	1	5.95
Aus 	2008	A08	104	224	1	8.15
Aus 	2008	A08	105	168	1	7.56
Aus 	2008	A08	106	168	1	9.26
Aus 	2008	A08	107	224	1	10.24
Aus 	2008	A08	108	56	1	7.99
Aus 	2008	A08	109	224	1	7.2
Aus 	2008	A08	110	56	1	7.59
Aus 	2008	A08	111	0	1	6.75
Aus 	2008	A08	112	224	1	6.99
Aus 	2008	A08	113	168	1	7.85
Aus 	2008	A08	114	56	1	8.69
Aus 	2008	A08	115	168	1	5.45
Aus 	2008	A08	116	224	1	8.57
Aus 	2008	A08	117	0	1	7.57
Aus 	2008	A08	118	112	1	8.71
Aus 	2008	A08	119	168	1	8.47
Aus 	2008	A08	120	0	1	5.74
Aus 	2008	A08	121	112	1	9.03
Aus 	2008	A08	122	0	1	6.38
Aus 	2008	A08	123	112	1	7.15
Aus 	2008	A08	124	112	1	7.49
Aus 	2008	A08	125	56	1	4.84
Aus 	2008	A08	201	168	2	7.89
Aus 	2008	A08	202	112	2	6.02
Aus 	2008	A08	203	0	2	5.22
Aus 	2008	A08	204	168	2	7.64
Aus 	2008	A08	205	112	2	7.48
Aus 	2008	A08	206	56	2	6.87
Aus 	2008	A08	207	168	2	7.68
Aus 	2008	A08	208	224	2	9.44
Aus 	2008	A08	209	224	2	8.26
Aus 	2008	A08	210	112	2	8.87
Aus 	2008	A08	211	224	2	8.84
Aus 	2008	A08	212	0	2	6.03
Aus 	2008	A08	213	0	2	7.14
Aus 	2008	A08	214	56	2	9.13
Aus 	2008	A08	215	112	2	6.58
Aus 	2008	A08	216	56	2	7.25
Aus 	2008	A08	217	0	2	5.89
Aus 	2008	A08	218	224	2	10.09
Aus 	2008	A08	219	224	2	9.02
Aus 	2008	A08	220	56	2	8.53
Aus 	2008	A08	221	56	2	7.78
Aus 	2008	A08	222	0	2	6.51
Aus 	2008	A08	223	168	2	8.3
Aus 	2008	A08	224	168	2	8.19
Aus 	2008	A08	225	112	2	7.86
Aus 	2008	A08	301	56	3	5.96
Aus 	2008	A08	302	168	3	8.32
Aus 	2008	A08	303	0	3	5.63
Aus 	2008	A08	304	224	3	8.23
Aus 	2008	A08	305	56	3	6.33
Aus 	2008	A08	306	168	3	7.48
Aus 	2008	A08	307	112	3	8.95
Aus 	2008	A08	308	224	3	10.86
Aus 	2008	A08	309	0	3	6.64
Aus 	2008	A08	310	112	3	7.12
Aus 	2008	A08	311	168	3	9.36
Aus 	2008	A08	312	56	3	8.26
Aus 	2008	A08	313	224	3	8.62
Aus 	2008	A08	314	0	3	5.93
Aus 	2008	A08	315	0	3	5.13
Aus 	2008	A08	316	112	3	7.81
Aus 	2008	A08	317	224	3	8.46
Aus 	2008	A08	318	112	3	8.05
Aus 	2008	A08	319	168	3	6.31
Aus 	2008	A08	320	112	3	8.21
Aus 	2008	A08	321	224	3	9.75
Aus 	2008	A08	322	56	3	9.22
Aus 	2008	A08	323	0	3	5.85
Aus 	2008	A08	324	168	3	10.64
Aus 	2008	A08	325	56	3	7.11
Aus 	2008	A08	401	0	4	5.66
Aus 	2008	A08	402	224	4	8.31
Aus 	2008	A08	403	224	4	9.32
Aus 	2008	A08	404	56	4	7.38
Aus 	2008	A08	405	112	4	8.29
Aus 	2008	A08	406	224	4	9.26
Aus 	2008	A08	407	112	4	8.37
Aus 	2008	A08	408	56	4	6.84
Aus 	2008	A08	409	224	4	10.5
Aus 	2008	A08	410	168	4	9.41
Aus 	2008	A08	411	112	4	8.02
Aus 	2008	A08	412	0	4	6.27
Aus 	2008	A08	413	168	4	10.82
Aus 	2008	A08	414	56	4	5.21
Aus 	2008	A08	415	112	4	6.59
Aus 	2008	A08	416	168	4	8.39
Aus 	2008	A08	417	56	4	7.03
Aus 	2008	A08	418	56	4	8.71
Aus 	2008	A08	419	0	4	6.08
Aus 	2008	A08	420	168	4	6.39
Aus 	2008	A08	421	0	4	5.74
Aus 	2008	A08	422	0	4	5.98
Aus 	2008	A08	423	224	4	7.51
Aus 	2008	A08	424	168	4	8.73
Aus 	2008	A08	425	112	4	7.94
Lam	2008	L08	101	56	1	6.22
Lam	2008	L08	102	112	1	6.23
Lam	2008	L08	103	0	1	3.19
Lam	2008	L08	104	224	1	2.48
Lam	2008	L08	105	168	1	4.59
Lam	2008	L08	106	168	1	4.35
Lam	2008	L08	107	224	1	4.62
Lam	2008	L08	108	56	1	3.93
Lam	2008	L08	109	224	1	5.04
Lam	2008	L08	110	56	1	4.32
Lam	2008	L08	111	0	1	3.81
Lam	2008	L08	112	224	1	4.17
Lam	2008	L08	113	168	1	4.61
Lam	2008	L08	114	56	1	4.97
Lam	2008	L08	115	168	1	5.01
Lam	2008	L08	116	224	1	5.99
Lam	2008	L08	117	0	1	2.71
Lam	2008	L08	118	112	1	3.48
Lam	2008	L08	119	168	1	5.72
Lam	2008	L08	120	0	1	2.73
Lam	2008	L08	121	112	1	4.36
Lam	2008	L08	122	0	1	4.05
Lam	2008	L08	123	112	1	5.69
Lam	2008	L08	124	112	1	4.66
Lam	2008	L08	125	56	1	4.93
Lam	2008	L08	201	168	2	5.25
Lam	2008	L08	202	112	2	4.64
Lam	2008	L08	203	0	2	6.07
Lam	2008	L08	204	168	2	4.64
Lam	2008	L08	205	112	2	4.6
Lam	2008	L08	206	56	2	5.97
Lam	2008	L08	207	168	2	5.47
Lam	2008	L08	208	224	2	7.29
Lam	2008	L08	209	224	2	5.2
Lam	2008	L08	210	112	2	6.57
Lam	2008	L08	211	224	2	5.88
Lam	2008	L08	212	0	2	4.85
Lam	2008	L08	213	0	2	4.25
Lam	2008	L08	214	56	2	5.54
Lam	2008	L08	215	112	2	4.3
Lam	2008	L08	216	56	2	5.64
Lam	2008	L08	217	0	2	2.28
Lam	2008	L08	218	224	2	3.93
Lam	2008	L08	219	224	2	6.91
Lam	2008	L08	220	56	2	3.76
Lam	2008	L08	221	56	2	4.81
